1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
4 0 10 0.00729 3.44058 1 0 79.3881 0 0.555556 0.158971 5.5662 0.00729 -nan 3.44058 0 2.9998
5 0 10 0.00674387 9.59448 0.905047 0 83.3219 0 -nan inf 0 0.00676306 0.006561 8.68345 0.911023 2.9998
6 0 10 0.00622374 29.9167 0.848994 0 73.4849 0 -nan inf 0 0.00628045 0.0059049 25.3991 4.51759 2.9998
7 0 10 0.00571995 35.0888 0.73144 0 62.7277 0 0.714394 0.0496827 9.61608 0.0057894 0.00553079 25.6654 9.42346 2.9998
8 0 10 0.0142069 39.8843 0.696279 0.00808908 44.3503 0 0.761905 0.145942 5.63708 0.0142069 0.0142069 27.7706 12.1137 2.97157
9 1 10 0.0142069 6.91707 0.80461 0 55.353 0 0.551724 0.0156989 20.9254 0.0142069 0.0142069 5.56554 1.35153 2.9998
10 0 9 0.00893964 19.0817 0.501326 0.00294515 45.0196 0 -nan inf 0 0.00979228 0.00808246 9.56614 9.51553 2.99878
11 2 9 0.0558753 3.66866 0 0.0118385 28.7232 3.78032 0.379765 0.00864776 9.95049 -nan 0.0558753 0 3.66866 2.74763
12 0 7 0.07 1.44353 0.0445913 0 39.4134 0 0.328489 0.00757018 14.6317 0.07 0.07 0.0643688 1.37916 2.9998
13 0 7 0.0645662 1.21471 0.38026 0 37.2389 0 0.325969 0.00474739 26.2412 0.0557102 0.07 0.461907 0.752807 2.9998
14 0 7 0.0604627 4.00386 0.848154 0 31.1839 0 0.271394 0.00418207 21.4703 0.0679884 0.0184272 3.39589 0.60797 2.9998
15 0 7 0.0497411 1.83706 0.142339 0 36.022 0 0.328364 0.00380495 24.3358 0.0699713 0.0463837 0.261485 1.57558 2.9998
16 0 8 0.0578879 2.55097 0.100901 0 32.9413 0 0.392083 0.00302367 26.6493 0.0451775 0.0593144 0.257394 2.29357 2.9998
17 0 8 0.0319279 3.57966 0.331178 0 60.8091 0 0.556316 0.00373218 49.5376 0.0151317 0.0402448 1.18551 2.39416 2.9998
18 0 10 0.0460282 6.70394 0.504205 0 57.6525 0 0.484386 0.00523295 27.4929 0.0616816 0.0301091 3.38016 3.32378 2.9998
19 0 10 0.0204028 7.22188 0.575326 0 62.8583 0 0.479362 0.00477994 28.6424 0.0172341 0.0246956 4.15493 3.06695 2.9998
20 0 10 0.0557795 7.16472 0.53485 0 72.4517 0 0.502114 0.0030557 52.2488 0.0576529 0.0536254 3.83205 3.33267 2.9998
21 0 10 0.0472441 8.40676 0.541008 0 63.7964 0 0.505699 0.00234511 60.5201 0.0535797 0.0397765 4.54813 3.85863 2.9998
22 0 10 0.0460702 10.6732 0.540386 0 82.0434 0 0.517533 0.0021764 75.3483 0.0517939 0.0393407 5.76764 4.90555 2.9998
23 0 10 0.0136468 23.4753 0.769046 0 75.853 0 0.502433 0.00403787 28.2798 0.0125599 0.0172659 18.0536 5.42172 2.9998
24 0 10 0.053508 20.7922 0.605738 0 67.4148 0 0.458581 0.00168689 64.7606 0.0542347 0.0523914 12.5947 8.1976 2.9998
25 0 10 0.0491056 24.8344 0.512793 0 76.2 0 0.49087 0.00158262 76.0989 0.0481335 0.0501288 12.7349 12.0995 2.9998
26 0 10 0.0264168 25.0999 0.636234 0 60.6145 0 0.437569 0.00137456 53.6394 0.0299015 0.0203219 15.9694 9.13049 2.9998
27 0 10 0.0572569 8.35252 0.714958 0 64.2302 0 0.549778 0.00122579 75.5529 0.0584841 0.0541788 5.9717 2.38082 2.9998
28 0 10 0.0280809 14.083 0.670432 0 59.1748 0 0.50308 0.00168336 33.2818 0.0298674 0.0244465 9.44172 4.64131 2.9998
